epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
6,0.533470648815654,0.3888888888888889,0.3753351206434316,0.3819918144611187,0.5037524545625722,0.3864992924843224,378,220,233,140,598,373,0.618657937806874,0.6321070234113713,0.6253101237030554,3.241406079261534,0.5206611570247934,0.3703703703703703,0.196078431372549,0.2564102564102564,0.4787114845938375,0.4427026792833947,53,17,41,10,70,51,0.5638297872340425,0.7571428571428571,0.646341414485429,0.8254055231809616
1,0.4974253347064881,0.3887814313346228,0.5388739946380697,0.451685393258427,0.4993925237834784,0.3785556019940957,282,316,172,201,598,373,0.6211453744493393,0.471571906354515,0.5361216239406427,16.709852572410338,0.5454545454545454,0.4545454545454545,0.392156862745098,0.4210526315789473,0.5103641456582634,0.4371773313776889,46,24,31,20,70,51,0.5974025974025974,0.6571428571428571,0.6258502902494372,0.7942622601985931
2,0.525231719876416,0.4063829787234042,0.5120643431635389,0.4531435349940688,0.5154469321330262,0.3989263499054328,319,279,182,191,598,373,0.6367265469061876,0.5334448160535117,0.5805277028917885,12.595482087904408,0.5785123966942148,0.0,0.0,0.0,0.5470588235294117,0.4533413515242684,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,1.6352317929267883
3,0.5211122554067971,0.3954545454545454,0.4664879356568364,0.4280442804428044,0.5169869179660531,0.3860645218875504,332,266,199,174,598,373,0.6252354048964218,0.5551839464882943,0.5881310396357917,11.056395615300824,0.5785123966942148,0.0,0.0,0.0,0.5563025210084034,0.4633048301218138,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.015528440475464
4,0.5345005149330587,0.4091954022988506,0.4772117962466488,0.4405940594059406,0.5279685636661974,0.3967012769239017,341,257,195,178,598,373,0.6361940298507462,0.5702341137123745,0.601410884893733,11.199898781314973,0.5785123966942148,0.0,0.0,0.0,0.5549019607843138,0.4655330744356105,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.565964460372925
5,0.5303810504634398,0.3810888252148997,0.35656836461126,0.3684210526315789,0.5085517408340582,0.3886167428465671,382,216,240,133,598,373,0.6141479099678456,0.6387959866220736,0.6262294582160748,9.942324392257198,0.5785123966942148,0.0,0.0,0.0,0.5568627450980392,0.4670422825068376,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.908718764781952
6,0.5468589083419155,0.4120734908136483,0.420911528150134,0.416445623342175,0.5033220655088005,0.3879021070810361,374,224,216,157,598,373,0.6338983050847458,0.6254180602006689,0.6296295796319009,9.66343786639552,0.5785123966942148,0.0,0.0,0.0,0.5557422969187674,0.4677659613395514,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,3.069377511739731
7,0.5406797116374872,0.4010840108401084,0.3967828418230563,0.398921832884097,0.5254467528042537,0.405377798949478,377,221,225,148,598,373,0.6262458471760798,0.6304347826086957,0.6283332833338928,8.934136444522489,0.5785123966942148,0.0,0.0,0.0,0.5563025210084033,0.4681504288520466,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,3.0188923478126526
8,0.5128733264675592,0.3554913294797688,0.3297587131367292,0.3421418636995827,0.4611327301908955,0.3630738011825265,375,223,250,123,598,373,0.6,0.6270903010033445,0.6132460661323048,9.099005614557576,0.5785123966942148,0.0,0.0,0.0,0.5571428571428572,0.4674635912903436,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.954525649547577
9,0.5242018537590113,0.3825857519788918,0.388739946380697,0.3856382978723404,0.5231446196885059,0.4047110435965334,364,234,228,145,598,373,0.6148648648648649,0.6086956521739131,0.6117646558836282,7.976344231636293,0.5785123966942148,0.0,0.0,0.0,0.5574229691876751,0.4679527156127233,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.946778357028961
10,0.490216271884655,0.3394736842105263,0.3458445040214477,0.3426294820717131,0.4515207079899935,0.3471011411186999,347,251,244,129,598,373,0.5871404399323181,0.580267558528428,0.5836837178738987,9.132645499321722,0.5785123966942148,0.0,0.0,0.0,0.5565826330532213,0.4678783028855346,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.9141551852226257
11,0.5242018537590113,0.3794037940379404,0.3753351206434316,0.3773584905660377,0.4985182960180046,0.3947369178362461,369,229,233,140,598,373,0.6129568106312292,0.617056856187291,0.6149999500005596,6.776778851785967,0.5785123966942148,0.0,0.0,0.0,0.5565826330532213,0.4685098228328843,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.732711136341095
12,0.5200823892893924,0.3798449612403101,0.3941018766756032,0.3868421052631579,0.5169174280667461,0.3970257459215391,358,240,226,147,598,373,0.613013698630137,0.5986622073578596,0.6057529110899288,6.43422556308008,0.5785123966942148,0.0,0.0,0.0,0.5571428571428572,0.4687830392088765,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.377144157886505
13,0.509783728115345,0.3709273182957393,0.3967828418230563,0.3834196891191709,0.470433168649744,0.3675643400284977,347,251,225,148,598,373,0.6066433566433567,0.580267558528428,0.5931623431870887,8.510755754286244,0.5785123966942148,0.0,0.0,0.0,0.5571428571428572,0.4698824236403625,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.444545179605484
14,0.5262615859938208,0.3833780160857908,0.3833780160857908,0.3833780160857908,0.483712464246326,0.3662220001826466,368,230,230,143,598,373,0.6153846153846154,0.6153846153846154,0.6153845653846195,7.644680730758175,0.5785123966942148,0.0,0.0,0.0,0.5588235294117647,0.470767146828222,70,0,51,0,70,51,0.5785123966942148,1.0,0.7329842467585896,2.2194751501083374
