endpoint,split,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives,support_negative,support_positive,precision_negative,recall_negative,f1_negative,loss,hidden_channels,num_layers,heads,dropout,lr
nr_ar_lbd,train,0.9764201500535906,0.7916666666666666,0.4042553191489361,0.5352112676056338,0.9230444016203248,0.586274608859428,5390,20,112,76,5410,188,0.979643765903308,0.9963031423290204,0.9879031758100084,0.0835435484402946,128,5,2,0.3736932106048628,0.0007591104805282
nr_ar_lbd,val,0.9742857142857144,0.7777777777777778,0.5,0.6086956521739131,0.8479485544217688,0.5793243144777109,668,4,14,14,672,28,0.9794721407624634,0.9940476190476192,0.9867060061327152,0.1053132023662328,128,5,2,0.3736932106048628,0.0007591104805282
nr_ar_lbd,test,0.9871428571428572,1.0,0.4705882352941176,0.64,0.9032813711135992,0.6527739973859306,683,0,9,8,683,17,0.9869942196531792,1.0,0.99345449545669,0.0640138928693803,128,5,2,0.3736932106048628,0.0007591104805282
nr_er,train,0.9063614186526552,0.7467811158798283,0.2833876221498371,0.4108618654073199,0.8227059664733455,0.5324330570851645,4656,59,440,174,4715,614,0.913657770800628,0.9874867444326616,0.949138671918236,0.2636454658147817,128,4,4,0.243386291417709,0.0001705053926026
nr_er,val,0.9006024096385542,0.3478260869565217,0.135593220338983,0.1951219512195122,0.7101834990895084,0.2939662761741963,590,15,51,8,605,59,0.9204368174726988,0.975206611570248,0.9470304476340368,0.3005687991778056,128,4,4,0.243386291417709,0.0001705053926026
nr_er,test,0.8907185628742516,0.6756756756756757,0.2906976744186046,0.4065040650406504,0.7416886438104371,0.5058196663007879,570,12,61,25,582,86,0.9033280507131536,0.979381443298969,0.9398185815737614,0.3529548119930994,128,4,4,0.243386291417709,0.0001705053926026
nr_er_lbd,train,0.9534118462071356,0.7647058823529411,0.0905923344947735,0.1619937694704049,0.8414116610118689,0.4270538946109988,5479,8,261,26,5487,287,0.9545296167247388,0.9985420083834518,0.9760398538287248,0.1478057990663618,32,2,8,0.3404460046972835,0.0026070247583707
nr_er_lbd,val,0.9515235457063712,0.6666666666666666,0.0555555555555555,0.1025641025641025,0.7678571428571429,0.3228347807070389,685,1,34,2,686,36,0.952712100139082,0.998542274052478,0.975088917999116,0.1705425511235776,32,2,8,0.3404460046972835,0.0026070247583707
nr_er_lbd,test,0.9542936288088644,1.0,0.0571428571428571,0.1081081081081081,0.7925140361821584,0.4682792528324226,687,0,33,2,687,35,0.9541666666666668,1.0,0.9765457922449916,0.1478571282780688,32,2,8,0.3404460046972835,0.0026070247583707
nr_ppar_gamma,train,0.968168279970216,0.0,0.0,0.0,0.8494496618822582,0.1416353141817208,5201,5,166,0,5206,166,0.9690702440842184,0.9990395697272378,0.9838266784708796,0.1142840790118844,128,4,4,0.243386291417709,0.0001705053926026
nr_ppar_gamma,val,0.9612518628912072,0.0,0.0,0.0,0.8037770897832817,0.1698598882581903,645,1,25,0,646,25,0.9626865671641792,0.9984520123839008,0.9802431111108568,0.1393649580755404,128,4,4,0.243386291417709,0.0001705053926026
nr_ppar_gamma,test,0.977645305514158,0.0,0.0,0.0,0.6526771101239187,0.0602931289576569,656,2,13,0,658,13,0.9805680119581464,0.9969604863221884,0.9886962574638752,0.2262184087719236,128,4,4,0.243386291417709,0.0001705053926026
sr_are,train,0.8474798167139428,0.625,0.0627615062761506,0.1140684410646387,0.7979528283984901,0.4258050408950206,3839,27,672,45,3866,717,0.8510308135668366,0.9930160372478012,0.9165571903585008,0.3665501600545313,32,2,8,0.3404460046972835,0.0026070247583707
sr_are,val,0.8513986013986014,0.5,0.0235294117647058,0.0449438202247191,0.6992390385312235,0.3108734449293886,485,2,83,2,487,85,0.8538732394366197,0.995893223819302,0.9194312299155932,0.4384450117746989,32,2,8,0.3404460046972835,0.0026070247583707
sr_are,test,0.8286713286713286,0.25,0.0104166666666666,0.02,0.7295824579831933,0.3305194533002702,473,3,95,1,476,96,0.8327464788732394,0.9936974789915968,0.906130218587516,0.4268332910206582,32,2,8,0.3404460046972835,0.0026070247583707
sr_atad5,train,0.9637358877865208,0.0,0.0,0.0,0.8546815660980167,0.1864608375681799,5634,0,212,0,5634,212,0.9637358877865208,1.0,0.98153305106235,0.1271850144734881,128,3,2,0.3186841117373118,0.000234265810582
sr_atad5,val,0.9657064471879286,0.0,0.0,0.0,0.71625,0.097628183665672,704,0,25,0,704,25,0.9657064471879286,1.0,0.982554032359952,0.1461522842392973,128,3,2,0.3186841117373118,0.000234265810582
sr_atad5,test,0.9658469945355193,0.0,0.0,0.0,0.852956152758133,0.1819105300993079,707,0,25,0,707,25,0.9658469945355193,1.0,0.9826267741985546,0.1214489509230074,128,3,2,0.3186841117373118,0.000234265810582
sr_hse,train,0.9458984375,0.6666666666666666,0.0214285714285714,0.0415224913494809,0.8103829693034238,0.2619820381785185,4837,3,274,6,4840,280,0.9463901389160634,0.9993801652892562,0.9721635516851612,0.1813410266768187,128,4,4,0.243386291417709,0.0001705053926026
sr_hse,val,0.9357366771159876,1.0,0.0465116279069767,0.0888888888888888,0.7378932968536251,0.2564807187090955,595,0,41,2,595,43,0.9355345911949684,1.0,0.9666936949782948,0.2374121859669685,128,4,4,0.243386291417709,0.0001705053926026
sr_hse,test,0.9372056514913658,0.0,0.0,0.0,0.7612227805695143,0.2160033541018761,597,0,40,0,597,40,0.9372056514913658,1.0,0.9675850391935438,0.2191152948886156,128,4,4,0.243386291417709,0.0001705053926026
sr_mmp,train,0.8976608187134503,0.7681451612903226,0.4816687737041719,0.5920745920745921,0.9145522236942512,0.6959715144776377,4224,115,410,381,4339,791,0.9115235217954252,0.9734961972804794,0.9414910901409732,0.2521544238147528,32,2,8,0.3404460046972835,0.0026070247583707
sr_mmp,val,0.897196261682243,0.7321428571428571,0.4456521739130434,0.5540540540540541,0.8726482213438734,0.5810355472890399,535,15,51,41,550,92,0.9129692832764504,0.9727272727272728,0.9419013585009202,0.38892382028557,32,2,8,0.3404460046972835,0.0026070247583707
sr_mmp,test,0.8990683229813664,0.7413793103448276,0.4623655913978494,0.5695364238410596,0.9069921745409129,0.626494262640092,536,15,50,43,551,93,0.9146757679180888,0.9727767695099818,0.942831964119501,0.2471734627726532,32,2,8,0.3404460046972835,0.0026070247583707
sr_p53,train,0.9371964495059454,0.6666666666666666,0.015873015873015872,0.031007751937984496,0.8481437492254584,0.30032045039254207,5590,3,372,6,5593,378,0.9376048305937604,0.9994636152333274,0.9675464667104471,0.18919886729336358,128,5,2,0.3736932106048628,0.0007591104805282694
sr_p53,val,0.9238985313751669,0.0,0.0,0.0,0.7802707636142379,0.2749555420153423,692,0,57,0,692,57,0.9238985313751669,1.0,0.960444086094891,0.26313240950306255,128,5,2,0.3736932106048628,0.0007591104805282694
sr_p53,test,0.9195710455764075,0.0,0.0,0.0,0.8096938775510204,0.27399820805534614,686,0,60,0,686,60,0.9195710455764075,1.0,0.9581005087469986,0.25239099802759785,128,5,2,0.3736932106048628,0.0007591104805282694
